Brand,Model,Year,Fuel,Transmission,Km,Owner,Price,Location,Engine,Seats
Maruti Suzuki,Alto VXi,2014,Petrol,Manual,82682,First,270000.0,Pune,998,5.0
Hyundai,i20 Active 1.4 S,2016,Diesel,Manual,70500,First,545000.0,Jamshedpur,1396,5.0
MG,Hector Plus Sharp 1.5 DCT Petrol,2021,Petrol,Automatic,10000,First,1875000.0,Faridabad,1451,6.0
Renault,Kwid RXT [2015-2019],2016,Petrol,Manual,57159,First,254999.0,Varanasi,799,5.0
BMW,3-Series 320d Sport Line [2014-2016],2014,Diesel,Automatic,82000,First,2000000.0,Mohali,1995,5.0
Land Rover,Discovery HSE,2016,Diesel,Automatic,120000,First,2785000.0,Delhi,2993,7.0
Mahindra,Thar LX 4-STR Hard Top Diesel MT,2021,Diesel,Manual,17000,First,1800000.0,Pune,2184,4.0
Honda,City 1.5 V AT,2012,Petrol,Automatic,40000,Second,475000.0,Pune,1497,5.0
Hyundai,Elite i20 Sportz 1.2 (O),2020,Petrol,Manual,58100,First,650000.0,Lucknow,1197,5.0
Toyota,Fortuner 3.0 4x4 MT,2012,Diesel,Manual,12749,First,1199000.0,Kolkata,2982,7.0
Hyundai,Santa Fe 4 WD (AT),2013,Diesel,Automatic,83466,First,650000.0,Jaipur,2199,7.0
Mahindra,Scorpio S2,2015,Diesel,Manual,86000,Second,795000.0,Purnea,2523,8.0
Mercedes-Benz,C-Class C 200 Avantgarde,2015,Petrol,Automatic,60921,Second,2385000.0,Pune,1991,5.0
Audi,Q5 2.0 TDI quattro Premium,2014,Diesel,Automatic,78000,First,1700000.0,Ahmedabad,1968,5.0
Hyundai,Verna Fluidic 1.6 VTVT SX Opt,2012,Petrol,Manual,53000,First,380000.0,Mumbai,1591,5.0
Renault,Kwid 1.0 RXT [2016-2019],2016,Petrol,Manual,34736,First,295000.0,Hyderabad,999,5.0
Tata,Harrier XZ,2020,Diesel,Manual,14400,First,1750000.0,Ahmedabad,1956,5.0
Mahindra,Thar CRDe 4x4 Non AC,2015,Diesel,Manual,85000,Second,525000.0,Ambala Cantt,2498,7.0
Audi,A3 35 TFSI Premium Plus,2018,Petrol,Automatic,77590,First,2180000.0,Delhi,1395,5.0
Ford,Mustang GT Fastback 5.0L v8,2017,Petrol,Automatic,25000,Third,8000000.0,Chennai,4951,4.0
Jaguar,F-Pace Prestige,2018,Diesel,Automatic,40545,First,4325000.0,Ahmedabad,1999,5.0
Maruti Suzuki,Ritz Vdi BS-IV,2009,Diesel,Manual,80000,4 or More,120000.0,Kanpur,1248,5.0
Maruti Suzuki,Alto LXi CNG,2009,CNG,Manual,56852,Second,155000.0,Kanpur,796,5.0
Maruti Suzuki,DZire ZXi Plus AMT,2018,Petrol,Automatic,42000,First,735000.0,Mumbai,1197,5.0
Skoda,Rapid Style 1.6 MPI AT,2018,Petrol,Automatic,55000,Second,900000.0,Pune,1598,5.0
Skoda,Superb Elegance 1.8 TSI AT,2014,Petrol,Automatic,53000,Second,795000.0,Delhi,1798,5.0
MINI,Cooper D 3 Door,2018,Diesel,Automatic,17000,First,3300000.0,Delhi,1496,5.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2020,Diesel,Automatic,50000,First,3775000.0,Mumbai,2755,7.0
Mahindra,Xylo D4,2012,Diesel,Manual,70000,Third,325000.0,Patna,2489,8.0
Maruti Suzuki,Vitara Brezza VDi,2017,Diesel,Manual,75793,First,725000.0,Navi Mumbai,1248,5.0
Volvo,S60 Kinetic D4,2012,Diesel,Automatic,89311,First,994999.0,Hyderabad,1984,5.0
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],2018,Diesel,Manual,80000,First,785000.0,Mohali,1248,5.0
Porsche,Macan S [2019-2020],2020,Petrol,Automatic,38000,First,7500000.0,Ahmedabad,2995,5.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2019,Diesel,Automatic,69500,Second,2799000.0,Delhi,2755,7.0
Maruti Suzuki,Wagon R VXI,2018,Petrol,Manual,66794,First,390000.0,Kolkata,998,5.0
Porsche,Macan Base [2019-2020],2019,Petrol,Automatic,27000,First,9000000.0,Hyderabad,1984,5.0
Maruti Suzuki,Baleno Zeta 1.2 AT,2017,Petrol,Automatic,35616,First,675000.0,Pune,1197,5.0
Maruti Suzuki,Eeco 5 STR [2014-2019],2015,Petrol,Manual,64000,First,320000.0,Ranchi,1196,5.0
Maruti Suzuki,Baleno Zeta 1.2 AT,2020,Petrol,Automatic,7000,First,840000.0,Chennai,1197,5.0
Maruti Suzuki,Wagon R VXI,2015,Petrol,Manual,45000,First,310000.0,Ranchi,998,5.0
Maruti Suzuki,Ertiga LXI,2017,Petrol,Manual,9000,First,795000.0,Delhi,1373,7.0
Maruti Suzuki,Wagon R LXI CNG,2015,CNG,Manual,67738,Second,310000.0,Delhi,998,5.0
Toyota,Glanza G,2021,Petrol,Manual,11030,First,860000.0,Bangalore,1197,5.0
Hyundai,i10 Magna 1.2 Kappa2,2015,Petrol,Manual,49123,First,390000.0,Patna,1197,5.0
Maruti Suzuki,Swift DZire LDI,2018,Diesel,Manual,46000,First,520000.0,Bhubaneswar,1248,5.0
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],2018,Diesel,Manual,64000,First,675000.0,Lucknow,1248,5.0
Maruti Suzuki,S-Presso VXi,2021,Petrol,Manual,7942,First,475000.0,Thane,998,5.0
Maruti Suzuki,Alto 800 Lxi,2017,Petrol,Manual,52100,First,265000.0,Lucknow,796,5.0
Skoda,Rapid Ambition 1.6 TDI CR MT,2019,Diesel,Manual,32809,First,950000.0,Coimbatore,1598,5.0
Toyota,Fortuner 3.0 4x2 AT,2014,Diesel,Automatic,101000,First,1750000.0,Jalandhar,2982,7.0
Audi,A3 35 TDI Premium Plus + Sunroof,2016,Diesel,Automatic,40500,First,2225000.0,Mumbai,1968,5.0
Jeep,Compass Sport 1.4 Petrol,2021,Petrol,Manual,25700,First,1748999.0,Karnal,1368,5.0
Mercedes-Benz,M-Class ML 250 CDI,2014,Diesel,Automatic,85000,Second,2250000.0,Delhi,2143,5.0
Hyundai,Elite i20 Asta 1.2 (O) [2016],2017,Petrol,Manual,17268,First,690000.0,Nashik,1197,5.0
Maruti Suzuki,Baleno Zeta 1.2,2017,Petrol,Manual,68000,First,561000.0,Noida,1197,5.0
Maruti Suzuki,Swift DZire VXI AT,2017,Petrol,Automatic,44100,First,595000.0,Mumbai,1197,5.0
Hyundai,i20 Asta 1.2,2009,Petrol,Manual,115000,Third,235000.0,Coimbatore,1197,5.0
Hyundai,i20 Magna (O) 1.2,2014,Petrol,Manual,23000,First,450000.0,Ahmedabad,1197,5.0
BMW,5-Series 520d Modern Line,2014,Diesel,Automatic,58000,First,2299000.0,Mumbai,1995,5.0
Mercedes-Benz,GLE 250 d,2018,Diesel,Automatic,95786,First,4590000.0,Delhi,2143,5.0
Audi,Q3 35 TDI Technology,2016,Diesel,Automatic,95401,First,2150000.0,Bangalore,1968,5.0
Kia,Seltos GTX Plus 1.4 DCT,2020,Petrol,Automatic,7000,First,1850000.0,Bangalore,1353,5.0
Hyundai,Elantra SX (O) 2.0 AT,2017,Petrol,Automatic,24000,First,1175000.0,Mumbai,1999,5.0
Maruti Suzuki,Wagon R VXi,2012,Petrol,Manual,68000,First,250000.0,Kanpur,998,5.0
Hyundai,Accent Executive,2015,Petrol,Manual,41273,First,400000.0,Mumbai,1495,5.0
Hyundai,Creta SX 1.6 CRDi,2018,Diesel,Manual,65954,First,1100000.0,Pune,1582,5.0
Hyundai,i10 Sportz 1.2 Kappa2,2016,Petrol,Manual,28000,First,395000.0,Mumbai,1197,5.0
Maruti Suzuki,S-Presso VXi Plus,2021,Petrol,Manual,38848,First,425000.0,Panchkula,998,5.0
Toyota,Innova 2.4 ZX 7 STR [2016-2020],2017,Diesel,Manual,30000,First,2190000.0,Chennai,2393,7.0
Lexus,ES 300h Exquisite [2020-2021],2020,Hybrid,Automatic,27000,First,4800000.0,Mumbai,2487,5.0
Maruti Suzuki,Swift DZire LXI (O),2017,Petrol,Manual,69000,First,421000.0,Faridabad,1197,5.0
Hyundai,i20 Active 1.2 SX,2016,Petrol,Manual,22700,First,560000.0,Mumbai,1197,5.0
Audi,Q3 35 TDI quattro Technology,2019,Diesel,Automatic,41000,Second,3250000.0,Hyderabad,1968,5.0
Mahindra,Scorpio S10,2014,Diesel,Manual,100000,Second,875000.0,Mumbai,2179,8.0
Maruti Suzuki,Ciaz Alpha 1.4 MT,2018,Petrol,Manual,13066,First,899000.0,Bangalore,1373,5.0
Renault,Duster 85 PS RxL,2015,Diesel,Manual,75000,First,425000.0,Kanpur,1461,5.0
Maruti Suzuki,S-Presso VXi (O),2019,Petrol,Manual,53241,First,425000.0,Mirzapur,998,5.0
MINI,Countryman Cooper S JCW Inspired,2021,Petrol,Automatic,12000,First,3875000.0,Delhi,1998,5.0
Honda,City 1.5 S MT,2013,Petrol,Manual,65000,First,500000.0,Chennai,1497,5.0
Toyota,Fortuner 3.0 4x2 MT,2012,Diesel,Manual,97000,Second,1225000.0,Jalandhar,2982,7.0
Toyota,Innova 2.7 ZX AT 7 STR,2017,Petrol,Automatic,49000,Second,1789999.0,Delhi,2694,7.0
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],2013,Petrol,Manual,64000,First,240000.0,Faizabad,998,5.0
Honda,Amaze 1.5 VX i-DTEC,2019,Diesel,Manual,56000,First,935000.0,Hyderabad,1498,5.0
Maruti Suzuki,Baleno Alpha Automatic,2018,Petrol,Automatic,39000,First,775000.0,Mumbai,1197,5.0
Mahindra,Scorpio S4 1.99 [2016-2017],2017,Diesel,Manual,55000,Second,950000.0,Patna,1997,8.0
Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,2018,Petrol,Automatic,53000,Second,549000.0,Hyderabad,1197,5.0
Maruti Suzuki,Eeco 5 STR WITH A/C+HTR CNG [2017-2019],2021,CNG,Manual,1374,First,645000.0,Mumbai,1196,5.0
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],2018,Diesel,Automatic,68000,First,3400000.0,Hyderabad,1950,5.0
Hyundai,Elite i20 Sportz 1.2 [2016-2017],2019,Petrol,Manual,35000,First,645000.0,Mumbai,1197,5.0
BMW,5-Series 520d M Sport,2016,Diesel,Automatic,39000,First,2600000.0,Delhi,1995,5.0
Audi,A4 2.0 TDI (177bhp) Premium,2011,Diesel,Automatic,62000,First,1375000.0,Chennai,1968,5.0
Honda,City V CVT Petrol [2017-2019],2021,Petrol,Automatic,11000,First,1340000.0,Mumbai,1497,5.0
Maruti Suzuki,Swift ZXi Plus [2018-2019],2020,Petrol,Manual,11000,First,840000.0,Bangalore,1197,5.0
Maruti Suzuki,Swift DZire VXI,2014,Petrol,Manual,102000,Second,525000.0,Salem,1197,5.0
Maruti Suzuki,Eeco 7 STR STD (O),2022,Petrol,Manual,7000,First,625000.0,Hyderabad,1196,7.0
Hyundai,Eon Sportz,2012,Petrol,Manual,20000,First,215000.0,Mumbai,814,5.0
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],2019,Petrol,Manual,25000,First,595000.0,Hyderabad,1197,5.0
Audi,A4 Premium Plus 40 TFSI,2022,Petrol,Automatic,22000,First,4150000.0,Delhi,1984,5.0
Maruti Suzuki,Swift VDi,2018,Diesel,Manual,65000,First,750000.0,Hyderabad,1248,5.0
Ford,Ecosport Titanium 1.5 Ti-VCT,2013,Petrol,Manual,47000,First,550000.0,Indore,1499,5.0
Renault,Duster 110 PS RXZ 4X2 MT Diesel,2016,Diesel,Manual,2000000,First,450000.0,Ranchi,1461,5.0
BMW,X5 xDrive30d Pure Experience (5 Seater),2016,Diesel,Automatic,27011,Second,4175000.0,Chandigarh,2993,5.0
Jaguar,XE Prestige Diesel,2018,Diesel,Automatic,45545,Second,2700000.0,Chandigarh,1999,5.0
Mercedes-Benz,GLE 350 d,2018,Diesel,Automatic,18000,First,6150000.0,Chandigarh,2987,5.0
Volkswagen,Polo Comfortline 1.2L (P),2014,Petrol,Manual,72782,First,565000.0,Bangalore,1198,5.0
Maruti Suzuki,Alto VXi [2014-2019],2017,Petrol,Manual,16800,First,369000.0,Mumbai,998,5.0
Toyota,Yaris V CVT,2019,Petrol,Automatic,40900,First,1090000.0,Pune,1496,5.0
Honda,WR-V VX MT Petrol,2017,Petrol,Manual,39000,First,580000.0,Guwahati,1199,5.0
BMW,X1 sDrive20d xLine,2016,Diesel,Automatic,77000,First,2199000.0,Surat,1995,5.0
Mahindra,Scorpio S11 2WD 7 STR,2018,Diesel,Manual,120000,Second,1251000.0,Ranchi,2179,7.0
Honda,Amaze 1.2 SX i-VTEC,2017,Petrol,Manual,38700,First,540000.0,Meerut,1198,5.0
Maruti Suzuki,XL6 Zeta MT Petrol,2021,Petrol,Manual,7239,First,1245000.0,Udupi,1462,6.0
BMW,3-Series 330i M Sport Edition,2020,Petrol,Automatic,14000,First,4749000.0,Mumbai,1998,5.0
Hyundai,Grand i10 Sports Edition 1.2L Kappa VTVT,2014,Petrol,Manual,76000,First,365000.0,Ernakulam,1197,5.0
BMW,2 Series Gran Coupe 220d M Sport [2020-2021],2020,Diesel,Automatic,11000,First,4300000.0,Pune,1995,5.0
Maruti Suzuki,Vitara Brezza VDi,2019,Diesel,Manual,81300,First,825000.0,Ludhiana,1248,5.0
Volkswagen,Polo GT TDI,2013,Diesel,Manual,76000,First,325000.0,Lucknow,1598,5.0
Tata,Tiago Revotron XM (O) [2016-2019],2018,Petrol,Manual,91460,First,400000.0,Kanpur,1199,5.0
Land Rover,Evoque HSE Dynamic,2018,Diesel,Automatic,45000,First,3600000.0,Delhi,1999,5.0
Mahindra,Scorpio LX BS-IV,2013,Diesel,Manual,47000,First,671000.0,Patna,2179,8.0
Mercedes-Benz,GLC 220 d Progressive,2018,Diesel,Automatic,50000,First,3400000.0,Delhi,2143,5.0
BMW,7-Series 730Ld,2014,Diesel,Automatic,133273,First,3200000.0,Pune,2993,4.0
Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,2017,Petrol,Automatic,60500,First,775000.0,Surat,1197,5.0
Mercedes-Benz,M-Class 350 CDI,2014,Diesel,Automatic,81000,First,2150000.0,Ahmedabad,2987,5.0
Land Rover,Discovery 2.0 HSE 4WD Diesel,2020,Diesel,Automatic,22000,Second,4700000.0,Delhi,1999,5.0
Ford,Ikon DuraTorq 1.4 TDCi,2009,Diesel,Manual,88000,First,145000.0,Unnao,1399,5.0
MINI,Cooper D 5 Door,2020,Diesel,Automatic,19759,First,3590000.0,Coimbatore,1496,5.0
Toyota,Corolla Altis 1.8 G,2011,Petrol,Manual,77000,First,375000.0,Faridabad,1794,5.0
Hyundai,Verna Fluidic 1.6 VTVT SX AT,2015,Petrol,Automatic,58200,First,645000.0,Mumbai,1591,5.0
Toyota,Vellfire Hybrid,2022,Hybrid,Automatic,4000,First,11500000.0,Delhi,2494,7.0
Maruti Suzuki,Celerio ZXi,2015,Petrol,Manual,42000,First,509999.0,Bangalore,998,5.0
Hyundai,Elantra 1.8 SX AT,2013,Petrol,Automatic,63000,First,545000.0,Mumbai,1797,5.0
Honda,City V,2018,Petrol,Manual,42855,First,835000.0,Pune,1497,5.0
Renault,Duster 85 PS RXS 4X2 MT Diesel,2018,Diesel,Manual,24000,First,960000.0,Bangalore,1461,5.0
Maruti Suzuki,Celerio VXi [2019-2020],2019,Petrol,Manual,34000,First,540000.0,Chennai,998,5.0
Kia,Seltos HTK Plus 1.5 iMT,2022,Petrol,Manual,9500,First,1475000.0,Delhi,1497,5.0
Jaguar,XJ 3.0 V6 Portfolio,2014,Diesel,Automatic,32000,Second,3600000.0,Pune,2993,5.0
Hyundai,Verna 1.6 CRDI SX (O),2018,Diesel,Manual,97000,First,1175000.0,Jaipur,1582,5.0
Hyundai,Verna Fluidic 1.6 VTVT SX Opt AT,2014,Petrol,Automatic,72900,Second,475000.0,Mumbai,1591,5.0
Audi,Q8 Celebration,2021,Petrol,Automatic,28000,First,9900000.0,Hyderabad,2995,5.0
Maruti Suzuki,Swift LXi,2022,Petrol,Manual,6000,First,650000.0,Delhi,1197,5.0
BMW,X4 xDrive30d M Sport X [2019-2020],2021,Diesel,Automatic,24500,First,6100000.0,Mumbai,2993,5.0
Hyundai,i10 Sportz 1.2 AT Kappa2,2013,Petrol,Automatic,41000,First,370000.0,Pune,1197,5.0
Honda,City VX (O) MT BL,2018,Petrol,Manual,50000,First,875000.0,Patna,1497,5.0
Maruti Suzuki,DZire VDi AMT,2018,Diesel,Automatic,66000,First,695000.0,Warangal,1248,5.0
Tata,Harrier XZA Plus,2022,Diesel,Automatic,38000,First,2275000.0,Mumbai,1956,5.0
Jeep,Compass Model S (O) 1.4 Petrol DCT,2021,Petrol,Automatic,17000,First,2700000.0,Delhi,1368,5.0
Hyundai,Verna Fluidic 1.6 CRDi SX,2014,Diesel,Manual,74000,First,545000.0,Mohali,1582,5.0
Skoda,Rapid Style 1.6 MPI AT,2018,Petrol,Automatic,20690,First,1099000.0,Bangalore,1598,5.0
Hyundai,Verna 1.6 CRDI SX,2019,Diesel,Manual,40000,First,1125000.0,Ludhiana,1582,5.0
Hyundai,Creta 1.6 SX Plus AT Petrol,2018,Petrol,Automatic,50000,First,1299000.0,Mumbai,1591,5.0
BMW,5-Series 525d Luxury Plus,2013,Diesel,Automatic,70000,Second,1600000.0,Mumbai,1995,5.0
BMW,X6 xDrive40i M Sport,2021,Petrol,Automatic,20000,First,10800000.0,Chandigarh,2998,5.0
Maruti Suzuki,XL6 Alpha AT Petrol,2020,Petrol,Automatic,47248,First,1190000.0,Jaipur,1462,6.0
Tata,Tigor XZA Plus,2021,Petrol,Automatic,9000,First,795000.0,Pune,1199,5.0
Hyundai,Verna Fluidic 1.6 CRDi SX,2013,Diesel,Manual,78000,Second,459999.0,Ahmedabad,1582,5.0
Audi,A6 35 TDI Matrix,2018,Diesel,Automatic,51000,First,3400000.0,Hyderabad,1968,5.0
Hyundai,Creta E Plus 1.6 Petrol,2018,Petrol,Manual,34841,First,1050000.0,Hyderabad,1591,5.0
Hyundai,i20 Magna 1.2,2014,Petrol,Manual,46000,First,385000.0,Hyderabad,1197,5.0
Honda,City S Diesel,2015,Diesel,Manual,61000,First,585000.0,Ranchi,1498,5.0
Audi,A3 35 TDI Premium + Sunroof,2014,Diesel,Automatic,55000,First,1650000.0,Mumbai,1968,5.0
Maruti Suzuki,Swift VXi [2014-2017],2020,Petrol,Manual,58736,First,625000.0,Kollam,1197,5.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],2019,Petrol,Manual,34000,First,910000.0,Delhi,1462,5.0
Mahindra,XUV500 W11,2018,Diesel,Manual,47000,First,1275000.0,Ranchi,2179,7.0
Hyundai,Elite i20 Magna 1.2 [2016-2017],2017,Petrol,Manual,47000,First,585000.0,Delhi,1197,5.0
Mahindra,Thar CRDe 4x4 Non AC,2017,Diesel,Manual,79000,First,1035000.0,Mysore,2498,7.0
Hyundai,Elite i20 Asta 1.2 IVT,2021,Petrol,Automatic,12020,First,1075000.0,Mumbai,1197,5.0
Hyundai,Creta SX 1.5 Diesel [2020-2022],2020,Diesel,Manual,7000,First,1650000.0,Ahmedabad,1493,5.0
Audi,A4 2.0 TDI (143bhp),2014,Diesel,Automatic,15000,First,1575000.0,Delhi,1968,5.0
BMW,X3 xDrive20d,2014,Diesel,Automatic,82000,Second,1950000.0,Chandigarh,1995,5.0
BMW,5-Series 520d Luxury Line [2017-2019],2022,Diesel,Automatic,6000,First,6390000.0,Mumbai,1995,5.0
Hyundai,Creta 1.4 S Plus,2019,Diesel,Manual,68000,First,1080000.0,Bhopal,1396,5.0
Audi,Q7 45 TDI Premium Plus,2017,Diesel,Automatic,24000,First,5500000.0,Gurgaon,2967,7.0
Hyundai,Venue SX (O) 1.5 CRDi,2020,Diesel,Manual,56000,First,1080000.0,Jalandhar,1493,5.0
Mahindra,XUV500 W6,2015,Diesel,Manual,25000,First,800000.0,Mumbai,2179,7.0
Datsun,Go Plus T,2017,Petrol,Manual,34000,First,335000.0,Lucknow,1198,7.0
Hyundai,Venue SX 1.0 Turbo iMT,2021,Petrol,Manual,10700,First,1185000.0,Jaipur,998,5.0
Hyundai,Elite i20 Sportz 1.2 IVT,2021,Petrol,Automatic,25000,First,894999.0,Mumbai,1197,5.0
Honda,Amaze 1.2 S CVT Petrol [2018-2020],2019,Petrol,Automatic,54000,Second,650000.0,Varanasi,1199,5.0
Hyundai,i20 Sportz 1.4 CRDI,2014,Diesel,Manual,75000,First,550000.0,Bangalore,1396,5.0
Maruti Suzuki,Baleno Delta 1.3,2016,Diesel,Manual,88000,First,550000.0,Kanpur,1248,5.0
Audi,Q3 35 TDI Premium + Sunroof,2016,Diesel,Automatic,139000,Second,1650000.0,Jaipur,1968,5.0
Skoda,Kushaq Style 1.0L TSI MT,2022,Petrol,Manual,1300,First,1600000.0,Mumbai,999,5.0
Hyundai,Verna 1.6 VTVT SX (O),2019,Petrol,Manual,20000,First,1175000.0,Delhi,1591,5.0
Mitsubishi,Pajero Select Plus AT,2018,Diesel,Automatic,122000,First,1995000.0,Kota,2477,7.0
Hyundai,Elite i20 Sportz 1.4 CRDI [2016-2017],2016,Diesel,Manual,38000,First,575000.0,Patna,1396,5.0
MG,Hector Sharp 2.0 Diesel Turbo MT,2021,Diesel,Manual,18500,First,1975000.0,Hyderabad,1956,5.0
Hyundai,Creta SX (O) 1.5 Diesel [2020-2022],2022,Diesel,Manual,27800,First,1625000.0,Gurgaon,1493,5.0
Maruti Suzuki,Swift VXi [2014-2017],2019,Petrol,Manual,46027,First,695000.0,Hyderabad,1197,5.0
Toyota,Yaris J CVT [2018-2020],2018,Petrol,Automatic,23148,First,875000.0,Bangalore,1496,5.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],2017,Petrol,Automatic,28000,First,1495000.0,Mumbai,1798,5.0
Maruti Suzuki,Swift ZXi AMT [2018-2019],2019,Petrol,Automatic,11874,First,725000.0,Pune,1197,5.0
Hyundai,Creta E Plus 1.6 Petrol,2017,Petrol,Manual,50000,First,875000.0,Mumbai,1591,5.0
BMW,5-Series 520d Modern Line,2014,Diesel,Automatic,88000,Third,2250000.0,Bangalore,1995,5.0
Ford,Endeavour Trend 2.2 4x2 AT,2016,Diesel,Automatic,75000,Second,2350000.0,Mohali,2198,7.0
BMW,3-Series 320d Prestige,2019,Diesel,Automatic,15500,First,2690000.0,Delhi,1995,5.0
Maruti Suzuki,Ciaz VDi+ SHVS,2016,Diesel,Manual,82445,Second,695000.0,Hyderabad,1248,5.0
Honda,City V,2014,Petrol,Manual,75574,Second,600000.0,Jaipur,1497,5.0
Maruti Suzuki,Wagon R LXI CNG,2015,CNG,Manual,64000,First,375000.0,Mumbai,998,5.0
Hyundai,i10 Sportz 1.2 Kappa2,2012,Petrol,Manual,75000,First,315000.0,Pune,1197,5.0
Ford,Ecosport Trend 1.5 Ti-VCT,2019,Petrol,Manual,14095,First,775000.0,Delhi,1499,5.0
Audi,A6 35 TDI Matrix,2017,Diesel,Automatic,17000,First,3075000.0,Delhi,1968,5.0
Renault,Duster 110 PS RxZ Diesel,2014,Diesel,Manual,70000,First,415000.0,Delhi,1461,5.0
Maruti Suzuki,Ertiga ZDI + SHVS,2017,Diesel,Manual,68000,First,765000.0,Delhi,1248,7.0
Maruti Suzuki,Swift VXi [2014-2017],2018,Petrol,Manual,40000,Second,520000.0,Patna,1197,5.0
Jaguar,XJ 3.0 V6 Portfolio,2015,Diesel,Automatic,39000,First,3900000.0,Delhi,2993,5.0
Hyundai,Creta 1.6 SX,2016,Diesel,Manual,72000,First,850000.0,Ahmedabad,1582,5.0
Maruti Suzuki,Ertiga VDI SHVS,2016,Diesel,Manual,39000,First,969999.0,Hyderabad,1248,7.0
Maruti Suzuki,Baleno Delta 1.3,2016,Diesel,Manual,62000,First,575000.0,Ludhiana,1248,5.0
Ford,Endeavour Sport 2.0 4x4 AT,2021,Diesel,Automatic,41086,Second,3900000.0,Pune,1996,7.0
BMW,3-Series 320d Luxury Line,2013,Diesel,Automatic,65000,Second,1395000.0,Kolkata,1995,5.0
Skoda,Kushaq Style 1.0L TSI AT,2021,Petrol,Automatic,7900,First,1625000.0,Pune,999,5.0
Kia,Sonet GTX Plus 1.5 AT [2020-2021],2021,Diesel,Automatic,22000,First,1499000.0,Mumbai,1493,5.0
Volkswagen,Tiguan Highline TDI,2018,Diesel,Automatic,73000,Second,2050000.0,Coimbatore,1968,5.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],2016,Petrol,Automatic,55000,Second,1300000.0,Hyderabad,1798,5.0
Skoda,Superb L&K TDI AT,2019,Diesel,Automatic,6900,First,3199000.0,Delhi,1968,5.0
Maruti Suzuki,Swift LXi,2017,Petrol,Manual,65000,First,450000.0,Kanpur,1197,5.0
Honda,Mobilio RS Diesel,2015,Diesel,Manual,48000,First,675000.0,Mumbai,1498,7.0
Maruti Suzuki,Alto 800 Lxi,2018,Petrol,Manual,48000,Second,280000.0,Kanpur,796,5.0
Maruti Suzuki,Wagon R LXI ABS,2018,Petrol,Manual,18000,First,425000.0,Delhi,998,5.0
Rolls-Royce,Ghost Extended Wheelbase,2011,Petrol,Automatic,27000,Third,20000000.0,Delhi,6592,5.0
Mercedes-Benz,C-Class 220 BlueEfficiency,2012,Diesel,Automatic,78000,First,1250000.0,Mohali,2143,5.0
Hyundai,Santa Fe 2WD AT [2014-2017],2014,Diesel,Automatic,87938,Second,1175000.0,Bangalore,2199,7.0
Hyundai,Santro Sportz CNG [2018-2020],2019,CNG,Manual,43000,First,545000.0,Mumbai,1086,5.0
Mercedes-Benz,C-Class 220 CDI Elegance AT,2008,Diesel,Automatic,95200,First,495000.0,Mumbai,2148,5.0
Maruti Suzuki,Swift DZire VXI,2016,Petrol,Manual,26000,First,500000.0,Delhi,1197,5.0
Maruti Suzuki,Celerio VXi AMT,2015,Petrol,Automatic,70000,First,390000.0,Ahmedabad,998,5.0
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],2019,CNG,Manual,31000,First,575000.0,Delhi,998,5.0
BMW,3-Series 320d Luxury Line [2014-2016],2014,Diesel,Automatic,103000,Second,2100000.0,Lucknow,1995,5.0
Hyundai,i10 Magna 1.2 Kappa2,2012,Petrol,Manual,54556,First,250000.0,Lucknow,1197,5.0
Maruti Suzuki,DZire VXi,2019,Petrol,Manual,74000,First,685000.0,Pune,1197,5.0
Renault,Kwid RXT [2015-2019],2016,Petrol,Manual,64000,First,320000.0,Mohali,799,5.0
Maruti Suzuki,S-Cross Delta 1.6,2016,Diesel,Manual,85000,Second,620000.0,Karnal,1598,5.0
Maruti Suzuki,Swift VXi [2014-2017],2018,Petrol,Manual,54000,First,600000.0,Mohali,1197,5.0
Jeep,Compass Longitude (O) 1.4 Petrol AT [2019-2020],2019,Petrol,Automatic,57000,First,1750000.0,Hyderabad,1368,5.0
Land Rover,Discovery Sport SE,2018,Diesel,Automatic,38000,First,4950000.0,Thane,1999,7.0
Hyundai,Creta 1.6 SX Plus AT,2015,Diesel,Automatic,68566,First,1015000.0,Ahmedabad,1582,5.0
Toyota,Corolla Altis 1.8 G,2009,Petrol,Manual,68195,First,390000.0,Ahmedabad,1794,5.0
Maruti Suzuki,Ciaz Delta 1.4 MT,2017,Petrol,Manual,57000,First,755000.0,Delhi,1373,5.0
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],2021,Petrol,Automatic,45000,First,1825000.0,Delhi,1353,5.0
Maruti Suzuki,Celerio VXi AMT,2014,Petrol,Automatic,60116,First,416000.0,Bangalore,998,5.0
